subject_name,sub_cefr_level
Saying Hello,A1.1
Meeting New People,A1.1
Asking Someone’s Name,A1.1
Asking a Question,A1.1
Talking About Age,A1.1
this or that,A1.1
Counting from 1 to 10,A1.1
Asking the Time,A1.1
Asking About Location,A1.1
Making a Quick Request,A1.1
Giving Basic Directions,A1.1
Shopping for Groceries,A1.1
Asking for the Meaning,A1.1
Around the House,A1.1
Talking at a Party,A1.1
Light Flirtation,A1.1
Family Gatherings,A2.1
Meeting Coworkers,A2.2
Making Plans,A2.3
Going on a First Date,A2.1
Movie Night,A2.3
Going Shopping,A2.7
Do You Have Plans?,A2.3
Basic Directions,A2.4
Meeting Coworkers Again,A2.2
Introducing My Partner,A2.1
What Do You Do?,A2.2
Giving Directions,A2.4
Times of the Day,A2.4
What Is That?,A2.5
Work and Hobbies,A2.2
Telling the Time,A2.4
What Do You Like to Do?,A2.5
Ordering Coffee,A2.8
Learning Colours,A2.5
Describing Where You’re From,A2.5
Talking About Music,A2.6
Guessing Game,A2.6
Your Favorite Artist,A2.6
Which Languages Do You Speak?,A2.6
Talking About Languages,A2.6
Job Interview Practice,A2.2
Nationalities,A2.5
Nationalities 2,A2.5
Where Did You Get It?,A2.7
Dressing for a Date,A2.7
I Lost My Phone,A2.7
Seasons and Months,A2.4
School Subjects,A2.13
Talking About Age 2,A2.5
School Subjects 2,A2.13
Making Appointments,A2.3
When Is the Party?,A2.3
I Miss You,A2.3
Food and Cooking,A2.8
What’s the Right Word?,A2.5
Talking About Travel,A2.11
Sharing Social Handles,A2.14
Old Social Media,A2.14
Social Media Influencers,A2.14
Talking About Family,A2.1
Cat or Dog Person,A2.1
Arriving for an Appointment,A2.12
months of the year,A2.4
months of the year 2,A2.4
Gossiping with Friends,A2.3
Too Much or Not Enough,A2.7
Borrowing Money,A2.7
Hotel Horror Story,A2.5
Wedding Conversations,A2.1
Cooking 1,A2.8
Cooking with a recipe,A2.8
Have You Heard?,A2.3
Grocery Shopping,A2.7
Payment Declined,A2.7
Planning a Party,A2.3
bodyparts 1,A2.12
Ordering Takeout,A2.8
Food Delivery,A2.8
Have You Tried?,A2.8
We’re Going to Cook,A2.8
Pulling a Prank,A2.3
bodyparts 2,A2.12
Trying on Clothes,A2.7
Buying Souvenirs,A2.7
Online Shopping,A2.7
Talking About Homes,A2.9
Apartment Hunting,A2.9
Apartment Hunting Again,A2.9
Moving into a New Place,A2.9
Messy Apartment,A2.9
Relaxing with Netflix,A2.9
Housewarming Party,A2.1
Holiday Plans,A2.10
Dual meaning: Everyday Nature,A2.20
Not as Smart as You,A2.4
Talking About Temperature,A2.4
Talking About the Weather,A2.10
Weather Conditions,A2.10
buying a house,A2.9
Why Are You Late?,A2.11
The Uber Has Arrived,A2.11
Talking About Your Car,A2.11
Flight Check-in,A2.11
Diet Talk,A2.8
When Will You Be Back?,A2.11
First Day of School,A2.13
