subject,topic,front,back,difficulty,tags,pronunciation,example,native_language,front_language
medicine,Cardiovascular System,cardiovascular system,心血管系统 (xīn xuè guǎn xì tǒng),beginner,"['anatomy', 'physiology', 'blood flow', 'heart', 'medical']",/ˌkɑːrdioʊˈvæskjələr ˈsɪstəm/,Understanding the cardiovascular system is essential for medical students.,Chinese,English
medicine,Respiratory System,lungs,肺 (fèi),beginner,"['anatomy', 'respiration', 'breathing', 'oxygen', 'medical']",/lʌŋz/,The lungs are responsible for oxygen exchange in the body.,Chinese,English
medicine,Digestive System,stomach,胃 (wèi),beginner,"['anatomy', 'digestion', 'organs', 'medical']",/ˈstʌmək/,The stomach helps digest food using acid and enzymes.,Chinese,English
medicine,Nervous System,brain,大脑 (dà nǎo),beginner,"['anatomy', 'neurology', 'organ', 'medical']",/breɪn/,The brain controls all body functions and processes information.,Chinese,English
medicine,Skeletal System,bone,骨头 (gǔ tóu),beginner,"['anatomy', 'orthopedics', 'skeleton', 'medical']",/boʊn/,Bones provide structure and support for the body.,Chinese,English
medicine,Muscular System,muscle,肌肉 (jī ròu),beginner,"['anatomy', 'physiology', 'movement', 'medical']",/ˈmʌsəl/,Muscles help the body move and maintain posture.,Chinese,English
medicine,Cardiovascular System,heart,心脏 (xīn zàng),beginner,"['anatomy', 'circulation', 'blood', 'medical']",/hɑːrt/,The heart pumps blood throughout the body.,Chinese,English
medicine,Respiratory System,trachea,气管 (qì guǎn),beginner,"['anatomy', 'airway', 'breathing', 'medical']",/ˈtreɪkiə/,The trachea carries air from the throat to the lungs.,Chinese,English
medicine,Digestive System,liver,肝脏 (gān zàng),beginner,"['anatomy', 'metabolism', 'organ', 'medical']",/ˈlɪvər/,The liver processes nutrients and detoxifies harmful substances.,Chinese,English
medicine,Nervous System,spinal cord,脊髓 (jǐ suǐ),beginner,"['anatomy', 'neurology', 'nerves', 'medical']",/ˈspaɪnəl kɔːrd/,The spinal cord transmits signals between the brain and the body.,Chinese,English
medicine,Digestive System,stomach,胃 (wèi),beginner,"['anatomy', 'digestion', 'organs', 'medical']",/ˈstʌmək/,The stomach helps digest food using acid and enzymes.,Chinese,English
medicine,Nervous System,brain,大脑 (dà nǎo),beginner,"['anatomy', 'neurology', 'organ', 'medical']",/breɪn/,The brain controls all body functions and processes information.,Chinese,English
medicine,Skeletal System,bone,骨头 (gǔ tóu),beginner,"['anatomy', 'orthopedics', 'skeleton', 'medical']",/boʊn/,Bones provide structure and support for the body.,Chinese,English
medicine,Muscular System,muscle,肌肉 (jī ròu),beginner,"['anatomy', 'physiology', 'movement', 'medical']",/ˈmʌsəl/,Muscles help the body move and maintain posture.,Chinese,English
medicine,Cardiovascular System,heart,心脏 (xīn zàng),beginner,"['anatomy', 'circulation', 'blood', 'medical']",/hɑːrt/,The heart pumps blood throughout the body.,Chinese,English
medicine,Respiratory System,trachea,气管 (qì guǎn),beginner,"['anatomy', 'airway', 'breathing', 'medical']",/ˈtreɪkiə/,The trachea carries air from the throat to the lungs.,Chinese,English
medicine,Digestive System,liver,肝脏 (gān zàng),beginner,"['anatomy', 'metabolism', 'organ', 'medical']",/ˈlɪvər/,The liver processes nutrients and detoxifies harmful substances.,Chinese,English
medicine,Nervous System,spinal cord,脊髓 (jǐ suǐ),beginner,"['anatomy', 'neurology', 'nerves', 'medical']",/ˈspaɪnəl kɔːrd/,The spinal cord transmits signals between the brain and the body.,Chinese,English
medicine,Digestive System,stomach,胃 (wèi),beginner,"['anatomy', 'digestion', 'organs', 'medical']",/ˈstʌmək/,The stomach helps digest food using acid and enzymes.,Chinese,English
medicine,Nervous System,brain,大脑 (dà nǎo),beginner,"['anatomy', 'neurology', 'organ', 'medical']",/breɪn/,The brain controls all body functions and processes information.,Chinese,English
medicine,Skeletal System,bone,骨头 (gǔ tóu),beginner,"['anatomy', 'orthopedics', 'skeleton', 'medical']",/boʊn/,Bones provide structure and support for the body.,Chinese,English
medicine,Muscular System,muscle,肌肉 (jī ròu),beginner,"['anatomy', 'physiology', 'movement', 'medical']",/ˈmʌsəl/,Muscles help the body move and maintain posture.,Chinese,English
medicine,Cardiovascular System,heart,心脏 (xīn zàng),beginner,"['anatomy', 'circulation', 'blood', 'medical']",/hɑːrt/,The heart pumps blood throughout the body.,Chinese,English
medicine,Respiratory System,trachea,气管 (qì guǎn),beginner,"['anatomy', 'airway', 'breathing', 'medical']",/ˈtreɪkiə/,The trachea carries air from the throat to the lungs.,Chinese,English
medicine,Digestive System,liver,肝脏 (gān zàng),beginner,"['anatomy', 'metabolism', 'organ', 'medical']",/ˈlɪvər/,The liver processes nutrients and detoxifies harmful substances.,Chinese,English
medicine,Nervous System,spinal cord,脊髓 (jǐ suǐ),beginner,"['anatomy', 'neurology', 'nerves', 'medical']",/ˈspaɪnəl kɔːrd/,The spinal cord transmits signals between the brain and the body.,Chinese,English
medicine,Digestive System,stomach,胃 (wèi),beginner,"['anatomy', 'digestion', 'organs', 'medical']",/ˈstʌmək/,The stomach helps digest food using acid and enzymes.,Chinese,English
